--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1  2  5  11  21   36   57   85   121   166 | 1  3  8  19  40   76  133  218   339   505 | 1  4 12  31  71  147  280  498   837  1342 | 1  5 17  48 119  266  546 1044  1881  3223 | 1  6 23  71 190  456 1002 2046  3927  7150 |
 1  3  9  21  41   71  113  169   241   331 | 1  4 13  34  75  146  259  428   669  1000 | 1  5 18  52 127  273  532  960  1629  2629 | 1  6 24  76 203  476 1008 1968  3597  6226 | 1  7 31 107 310  786 1794 3762  7359 13585 |
 1  4 13  31  61  106  169  253   361   496 | 1  5 18  49 110  216  385  638   999  1495 | 1  6 24  73 183  399  784 1422  2421  3916 | 1  7 31 104 287  686 1470 2892  5313  9229 | 1  8 39 143 430 1116 2586 5478 10791 20020 |
 1  5 17  41  81  141  225  337   481   661 | 1  6 23  64 145  286  511  848  1329  1990 | 1  7 30  94 239  525 1036 1884  3213  5203 | 1  8 38 132 371  896 1932 3816  7029 12232 | 1  9 47 179 550 1446 3378 7194 14223 26455 |
 1  6 21  51 101  176  281  421   601   826 | 1  7 28  79 180  356  637 1058  1659  2485 | 1  8 36 115 295  651 1288 2346  4005  6490 | 1  9 45 160 455 1106 2394 4740  8745 15235 | 1 10 55 215 670 1776 4170 8910 17655 32890 |
 1  7 25  61 121  211  337  505   721   991 | 1  8 33  94 215  426  763 1268  1989  2980 | 1  9 42 136 351  777 1540 2808  4797  7777 | 1 10 52 188 539 1316 2856 5664 10461 18238 | 1 11 63 251 790 2106 496210626 21087 39325 |
 1  8 29  71 141  246  393  589   841  1156 | 1  9 38 109 250  496  889 1478  2319  3475 | 1 10 48 157 407  903 1792 3270  5589  9064 | 1 11 59 216 623 1526 3318 6588 12177 21241 | 1 12 71 287 910 2436 575412342 24519 45760 |
 1  9 33  81 161  281  449  673   961  1321 | 1 10 43 124 285  566 1015 1688  2649  3970 | 1 11 54 178 463 1029 2044 3732  6381 10351 | 1 12 66 244 707 1736 3780 7512 13893 24244 | 1 13 79 3231030 2766 654614058 27951 52195 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  1  5  15  35   70  126  210   330   495 | 0  1  6  21  56  126  252  462   792  1287 | 0  1  7  28  84  210  462  924  1716  3003 | 0  1  8  36 120  330  792 1716  3432  6435 | 0  1  9  45 165  495 1287 3003  6435 12870 |
 1  1  1   1   1    1    1    1     1     1 | 1  2  3   4   5    6    7    8     9    10 | 1  3  6  10  15   21   28   36    45    55 | 1  4 10  20  35   56   84  120   165   220 | 1  5 15  35  70  126  210  330   495   715 |
 1  2  6  16  36   71  127  211   331   496 | 1  3  9  25  61  132  259  470   801  1297 | 1  4 13  38  99  231  490  960  1761  3058 | 1  5 18  56 155  386  876 1836  3597  6655 | 1  6 24  80 235  621 1497 3333  6930 13585 |
 1  3 11  31  71  141  253  421   661   991 | 1  4 15  46 117  258  511  932  1593  2584 | 1  5 20  66 183  441  952 1884  3477  6061 | 1  6 26  92 275  716 1668 3552  7029 13090 | 1  7 33 125 400 1116 2784 6336 13365 26455 |
 1  4 16  46 106  211  379  631   991  1486 | 1  5 21  67 173  384  763 1394  2385  3871 | 1  6 27  94 267  651 1414 2808  5193  9064 | 1  7 34 128 395 1046 2460 5268 10461 19525 | 1  8 42 170 565 1611 4071 9339 19800 39325 |
 1  5 21  61 141  281  505  841  1321  1981 | 1  6 27  88 229  510 1015 1856  3177  5158 | 1  7 34 122 351  861 1876 3732  6909 12067 | 1  8 42 164 515 1376 3252 6984 13893 25960 | 1  9 51 215 730 2106 535812342 26235 52195 |
 1  6 26  76 176  351  631 1051  1651  2476 | 1  7 33 109 285  636 1267 2318  3969  6445 | 1  8 41 150 435 1071 2338 4656  8625 15070 | 1  9 50 200 635 1706 4044 8700 17325 32395 | 1 10 60 260 895 2601 664515345 32670 65065 |
 1  7 31  91 211  421  757 1261  1981  2971 | 1  8 39 130 341  762 1519 2780  4761  7732 | 1  9 48 178 519 1281 2800 5580 10341 18073 | 1 10 58 236 755 2036 483610416 20757 38830 | 1 11 69 3051060 3096 793218348 39105 77935 |
 1  8 36 106 246  491  883 1471  2311  3466 | 1  9 45 151 397  888 1771 3242  5553  9019 | 1 10 55 206 603 1491 3262 6504 12057 21076 | 1 11 66 272 875 2366 562812132 24189 45265 | 1 12 78 3501225 3591 921921351 45540 90805 |
 1  9 41 121 281  561 1009 1681  2641  3961 | 1 10 51 172 453 1014 2023 3704  6345 10306 | 1 11 62 234 687 1701 3724 7428 13773 24079 | 1 12 74 308 995 2696 642013848 27621 51700 | 1 13 87 3951390 40861050624354 51975103675 |
